Longitude,Latitude,UHI Index
-73.971665,40.78876333,0.96220255
-73.97192833,40.788875,0.96287215
-73.96708,40.78908,0.96244335
-73.97255,40.78908167,0.96967375
-73.96969667,40.78795333,0.9608284
-73.97021167,40.78418333,0.96061075
-73.96975167,40.78470833,0.9604498
-73.96676667,40.78886333,0.9579724
-73.97130333,40.788585,0.9598032
-73.966635,40.78418333,0.96448576
-73.98672167,40.78182667,0.9745525
-73.95032333,40.81512333,0.9754761
-73.98230833,40.76774167,0.9726283
-73.96508333,40.78370667,0.96822685
-73.97968333,40.77094667,0.96648353
-73.95570333,40.79593833,0.97373044
-73.97289167,40.78512667,0.97329146
-73.95583833,40.78309833,0.9681248
-73.96325,40.781915,0.967637
-73.94459,40.777375,0.9705569
-73.97195,40.78476,0.9668068
-73.94579667,40.781725,0.98004645
-73.98071167,40.78740333,0.9764259
-73.96015833,40.758905,0.9748339
-73.98460333,40.78264333,0.9722075
-73.97688333,40.79036333,0.97536576
-73.94998833,40.81563833,0.9745879
-73.94784,40.77889,0.9753674
-73.973275,40.78934667,0.96677536
-73.95970667,40.79867333,0.97246486
-73.94704833,40.78009,0.97206116
-73.982415,40.76795333,0.968791
-73.97984667,40.78694667,0.9809763
-73.98738167,40.78111,0.97600967
-73.97607667,40.789975,0.9716822
-73.96195667,40.79138333,0.970621
-73.97963,40.78667,0.980404
-73.95438833,40.78251333,0.9695947
-73.96295833,40.79177333,0.97368556
-73.941705,40.790355,0.9751578
-73.98581667,40.78309667,0.9694862
-73.96991,40.79022,0.9727736
-73.95996333,40.79833667,0.97753495
-73.98242,40.76804,0.9708858
-73.97728333,40.77158667,0.97363895
-73.94637333,40.77291833,0.96855986
-73.96973667,40.79016,0.9715841
-73.95559167,40.796185,0.9770441
-73.96010333,40.75887667,0.97368795
-73.97565,40.78978167,0.97243667
-73.95958667,40.79883167,0.96756744
-73.95093167,40.81433333,0.97473794
-73.98085833,40.76942167,0.9742523
-73.96359333,40.78273833,0.96739745
-73.96236,40.78117,0.9661717
-73.98243167,40.76812833,0.9710556
-73.98065667,40.78737833,0.97556925
-73.96223833,40.79151333,0.9695322
-73.97228167,40.784905,0.96590185
-73.984475,40.78302333,0.97590333
-73.97515667,40.78964,0.97363657
-73.96217833,40.78093667,0.9693374
-73.95764833,40.7896,0.9812795
-73.89286,40.84138833,0.9862942
-73.95836333,40.78989667,0.9791321
-73.93310667,40.79522,0.9833053
-73.898815,40.80721667,0.9790076
-73.975995,40.78651667,0.9802428
-73.98061167,40.78789333,0.9776629
-73.96706333,40.807085,0.9785588
-73.96702333,40.79345333,0.98501265
-73.98249667,40.77439333,0.9798239
-73.95459,40.79726333,0.98170483
-73.93384167,40.79543,0.98429716
-73.97887167,40.78633833,0.9781753
-73.98053,40.78922667,0.97888756
-73.9723,40.79635667,0.9813479
-73.98471,40.785675,0.9864982
-73.98227833,40.77546,0.9815382
-73.94239,40.78637333,0.985801
-73.97824333,40.78618,0.97861135
-73.97923667,40.78652667,0.97591716
-73.977965,40.79070667,0.9761446
-73.973785,40.78925667,0.97367424
-73.95881833,40.79981333,0.97476894
-73.98191,40.76774,0.97628963
-73.98061833,40.78785167,0.9764353
-73.92448833,40.84360667,0.98043495
-73.89894667,40.80784333,0.9819161
-73.95300667,40.768135,0.983001
-73.956465,40.79106833,0.9768348
-73.94668333,40.78053667,0.9745424
-73.955205,40.795475,0.976649
-73.97388833,40.79209333,0.97499704
-73.95322833,40.78605333,0.97783196
-73.97746833,40.78691833,0.98208016
-73.93201,40.79670167,0.9842293
-73.982295,40.77552167,0.98339546
-73.94437,40.77540667,0.979442
-73.97374167,40.79201333,0.97584957
-73.94584167,40.78166,0.9774618
-73.97750833,40.78687833,0.9838531
-73.98251167,40.77422333,0.98021734
-73.95585,40.80458667,0.988698
-73.89406167,40.84209167,0.975751
-73.94356667,40.776545,0.9745585
-73.97264167,40.79146333,0.9806559
-73.980605,40.78903,0.9759194
-73.95382833,40.78774167,0.98082274
-73.96049833,40.75905833,0.9751061
-73.94182667,40.79043,0.9843772
-73.95644,40.78324167,0.9751738
-73.95949,40.75906667,0.9802984
-73.97020667,40.79417333,0.9842852
-73.89813167,40.81011333,0.978727
-73.94727833,40.77857833,0.97936785
-73.97653167,40.78666,0.9762077
-73.98390167,40.78367667,0.97858745
-73.899475,40.80542167,0.97946477
-73.95653167,40.79101833,0.97707915
-73.94396667,40.77597333,0.9785488
-73.98472333,40.78499833,0.9742005
-73.94893667,40.77330833,0.985183
-73.98470667,40.78573,0.986923
-73.96068667,40.75916167,0.9773252
-73.951185,40.79774,0.98293203
-73.95443833,40.797615,0.99466705
-73.97065667,40.76783,0.98362815
-73.95697833,40.783335,0.98157305
-73.95362833,40.78617833,0.9737218
-73.93213833,40.79653667,0.98510176
-73.95492333,40.79676667,0.9823039
-73.887255,40.82287167,0.9779802
-73.95680833,40.79073667,0.9764666
-73.92461167,40.84343167,0.97963774
-73.902365,40.80613167,0.98229206
-73.89948167,40.81362667,0.9807427
-73.9465,40.78071167,0.9741914
-73.947145,40.805955,0.9885019
-73.95983667,40.80953,0.9737535
-73.95479667,40.79690667,0.98244655
-73.945695,40.78186167,0.9778821
-73.971625,40.791,0.9821573
-73.97831833,40.7908,0.9759856
-73.97892167,40.79080333,0.9826427
-73.88750833,40.8226,0.9799558
-73.983185,40.78434667,0.9816599
-73.97217667,40.7966,0.9802267
-73.94266,40.78591667,0.98103386
